City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
Santa Lucía,20,ES,10/18/2020,83,69.8,27.91,-15.54,8.05
Punta Arenas,40,CL,10/18/2020,70,42.8,-53.15,-70.92,31.09
Sri Aman,87,MY,10/18/2020,100,71.6,1.24,111.46,1.12
Ballina,75,AU,10/18/2020,100,63.0,-28.87,153.57,9.1
Longyearbyen,20,SJ,10/18/2020,73,26.6,78.22,15.64,8.05
Jamestown,90,US,10/18/2020,50,57.0,42.1,-79.24,14.99
Rikitea,100,PF,10/18/2020,81,74.86,-23.12,-134.97,18.5
Bluff,100,NZ,10/18/2020,96,48.99,-46.6,168.33,1.99
High Prairie,0,CA,10/18/2020,76,26.13,55.43,-116.49,0.92
Husavik,90,IS,10/18/2020,80,41.0,66.04,-17.34,17.22
Heraclea,3,TR,10/18/2020,49,59.4,37.51,34.05,2.71
Chara,93,RU,10/18/2020,89,18.97,56.91,118.26,0.38
Esperance,90,AU,10/18/2020,100,51.8,-33.87,121.9,8.05
Ushuaia,75,AR,10/18/2020,80,41.0,-54.8,-68.3,29.97
Hobart,75,AU,10/18/2020,66,51.01,-42.88,147.33,4.12
Evensk,100,RU,10/18/2020,94,34.92,61.95,159.23,2.66
Dali,98,CN,10/18/2020,89,58.14,25.7,100.18,3.04
Bredasdorp,100,ZA,10/18/2020,77,60.8,-34.53,20.04,1.12
Atuona,4,PF,10/18/2020,75,77.9,-9.8,-139.03,20.69
Hithadhoo,100,MV,10/18/2020,76,83.35,-0.6,73.08,14.9
Dod Ballāpur,75,IN,10/18/2020,100,71.6,13.29,77.54,1.12
Yellowknife,90,CA,10/18/2020,86,28.0,62.46,-114.35,6.93
Rovinj,0,HR,10/18/2020,87,48.2,45.08,13.64,3.36
Dikson,99,RU,10/18/2020,90,27.95,73.51,80.55,29.91
Sirte,100,LY,10/18/2020,69,72.07,31.21,16.59,17.65
Lompoc,1,US,10/18/2020,60,75.2,34.64,-120.46,13.87
Kumul,63,CN,10/18/2020,53,42.91,42.8,93.45,1.68
Araranguá,19,BR,10/18/2020,69,72.18,-28.93,-49.49,13.33
Tuktoyaktuk,20,CA,10/18/2020,92,15.8,69.45,-133.04,3.36
Mothīhāri,0,IN,10/18/2020,63,73.22,26.65,84.92,2.82
Nemuro,0,JP,10/18/2020,69,53.4,43.32,145.57,14.45
Dalbandin,0,PK,10/18/2020,31,54.14,28.89,64.41,5.44
Butaritari,100,KI,10/18/2020,72,82.11,3.07,172.79,18.86
Lethem,92,GY,10/18/2020,48,89.8,3.38,-59.8,1.39
Yulara,90,AU,10/18/2020,93,66.2,-25.24,130.99,11.41
Arraial do Cabo,40,BR,10/18/2020,73,73.4,-22.97,-42.03,16.11
Barrow,1,US,10/18/2020,79,21.2,71.29,-156.79,16.11
Avarua,92,CK,10/18/2020,74,78.8,-21.21,-159.78,8.05
Henties Bay,0,NA,10/18/2020,89,60.01,-22.12,14.28,3.0
Busselton,0,AU,10/18/2020,58,57.0,-33.65,115.33,8.19
Tunceli,29,TR,10/18/2020,30,53.6,39.11,39.55,6.93
Güzelyurt,40,TR,10/18/2020,72,59.0,38.28,34.37,9.17
Thompson,75,CA,10/18/2020,80,30.2,55.74,-97.86,6.93
Biak,94,ID,10/18/2020,81,76.01,-0.91,122.88,5.5
Mataura,100,NZ,10/18/2020,96,48.99,-46.19,168.86,1.99
Chokurdakh,93,RU,10/18/2020,98,19.08,70.63,147.92,6.42
Luba,40,GQ,10/18/2020,100,77.0,3.46,8.55,4.7
Kavieng,61,PG,10/18/2020,74,83.03,-2.57,150.8,9.6
Santa Maria,0,BR,10/18/2020,56,78.64,-29.68,-53.81,4.68
Pisco,90,PE,10/18/2020,77,66.2,-13.7,-76.22,8.05
Carnarvon,75,AU,10/18/2020,88,68.0,-24.87,113.63,12.75
Egvekinot,90,RU,10/18/2020,88,25.59,66.32,-179.17,4.38
Praia,60,CV,10/18/2020,83,80.6,14.92,-23.51,4.7
Nikolskoye,90,RU,10/18/2020,86,37.4,59.7,30.79,6.71
Qaanaaq,92,GL,10/18/2020,87,33.15,77.48,-69.36,6.71
Kaitangata,99,NZ,10/18/2020,87,51.01,-46.28,169.85,2.68
Arrondissement de Cognac,18,FR,10/18/2020,81,50.0,45.5,-0.25,4.7
Quatre Cocos,40,MU,10/18/2020,78,73.4,-20.21,57.76,11.41
Erenhot,0,CN,10/18/2020,54,43.12,43.65,111.98,12.46
Grindavik,20,IS,10/18/2020,81,42.8,63.84,-22.43,23.04
Usvyaty,61,RU,10/18/2020,87,36.18,55.75,30.75,8.79
Souillac,40,MU,10/18/2020,78,73.4,-20.52,57.52,11.41
Hermanus,100,ZA,10/18/2020,85,60.01,-34.42,19.23,6.76
Coquimbo,20,CL,10/18/2020,72,60.8,-29.95,-71.34,11.41
Vaini,75,TO,10/18/2020,83,71.6,-21.2,-175.2,14.81
Marawi,100,PH,10/18/2020,93,75.0,8.0,124.29,4.0
Mayor Pablo Lagerenza,30,PY,10/18/2020,28,99.75,-19.93,-60.77,8.43
Puerto Madero,75,MX,10/18/2020,62,89.6,14.72,-92.42,6.93
Geraldton,90,AU,10/18/2020,87,59.0,-28.77,114.6,4.7
Albany,96,US,10/18/2020,41,61.0,42.6,-73.97,3.0
Iqaluit,90,CA,10/18/2020,96,32.0,63.75,-68.51,23.04
Hong Kong,18,HK,10/18/2020,75,73.99,22.29,114.16,10.22
Blahodatne,100,UA,10/18/2020,83,45.43,50.66,24.25,14.76
Provideniya,75,RU,10/18/2020,80,35.6,64.38,-173.3,4.47
East London,46,ZA,10/18/2020,73,63.99,-33.02,27.91,6.42
Vardø,40,NO,10/18/2020,64,39.2,70.37,31.11,13.87
Mar del Plata,56,AR,10/18/2020,78,71.6,-38.0,-57.56,4.7
Arys,0,KZ,10/18/2020,49,46.4,42.43,68.8,4.47
Road Town,20,VG,10/18/2020,74,84.2,18.42,-64.62,3.36
Sinnamary,57,GF,10/18/2020,74,82.87,5.38,-52.95,9.64
Pokhara,24,NP,10/18/2020,62,67.95,28.23,83.98,2.89
Westport,40,US,10/18/2020,51,62.6,41.14,-73.36,9.17
Pala,0,TD,10/18/2020,52,78.53,9.36,14.9,3.51
Toora-Khem,100,RU,10/18/2020,87,34.47,52.47,96.11,10.65
Calama,0,CL,10/18/2020,5,77.0,-22.47,-68.93,24.16
Mount Gambier,90,AU,10/18/2020,100,48.2,-37.83,140.77,3.36
Dunda,0,TZ,10/18/2020,60,68.99,-8.12,34.25,2.91
Óbidos,97,BR,10/18/2020,36,92.98,-1.92,-55.52,4.23
Bethel,96,US,10/18/2020,74,57.99,41.37,-73.41,7.85
Port Elizabeth,8,ZA,10/18/2020,87,57.2,-33.92,25.57,3.36
Kinlochleven,100,GB,10/18/2020,96,46.99,56.71,-4.97,3.31
Dawlatabad,0,AF,10/18/2020,59,49.89,36.41,64.91,1.68
Mehamn,82,NO,10/18/2020,92,24.8,71.04,27.85,6.93
Hidalgo,0,MX,10/18/2020,47,73.38,20.5,-99.0,10.38
Río Gallegos,75,AR,10/18/2020,26,55.4,-51.62,-69.22,21.92
Smithers,90,CA,10/18/2020,89,32.0,54.78,-127.17,9.17
Harnai,0,PK,10/18/2020,19,61.88,30.1,67.94,3.36
Altay,99,CN,10/18/2020,68,39.81,47.87,88.12,2.68
Saint-Augustin,0,CA,10/18/2020,60,50.43,51.23,-58.65,4.74
North Bend,75,US,10/18/2020,72,73.99,43.41,-124.22,9.17
Luorong,60,CN,10/18/2020,78,58.33,24.41,109.61,8.84
Mikkeli,10,FI,10/18/2020,97,33.01,61.69,27.27,1.99
Kirakira,98,SB,10/18/2020,78,82.36,-10.45,161.92,7.65
George Town,20,MY,10/18/2020,83,80.6,5.41,100.34,3.36
Nísia Floresta,20,BR,10/18/2020,69,80.6,-6.09,-35.21,12.75
Saskylakh,100,RU,10/18/2020,97,20.59,71.92,114.08,6.6
Zhigansk,71,RU,10/18/2020,93,10.42,66.77,123.37,5.88
Charleston,1,US,10/18/2020,69,77.0,32.78,-79.93,11.41
Te Anau,100,NZ,10/18/2020,92,44.74,-45.42,167.72,2.19
Kibala,15,TD,10/18/2020,94,80.6,9.11,18.35,1.72
Katsuura,75,JP,10/18/2020,76,57.2,35.13,140.3,8.05
Severo-Kuril'sk,6,RU,10/18/2020,84,46.22,50.68,156.12,13.33
Rawson,41,AR,10/18/2020,21,71.83,-43.3,-65.1,25.05
Laas,5,IT,10/18/2020,71,41.0,46.62,10.7,1.68
Saint Paul Harbor,75,US,10/18/2020,75,44.6,57.79,-152.41,10.29
Axum,1,ET,10/18/2020,60,58.14,14.12,38.72,2.73
Mason City,1,US,10/18/2020,47,39.0,43.15,-93.2,17.22
Athani,97,IN,10/18/2020,92,72.34,16.73,75.07,10.07
Vostok,0,RU,10/18/2020,92,23.2,46.49,135.88,3.91
Bengkulu,100,ID,10/18/2020,93,74.86,-3.8,102.27,5.97
Yeniseysk,100,RU,10/18/2020,93,30.65,58.45,92.17,12.86
Udachny,75,RU,10/18/2020,92,12.2,66.42,112.4,4.47
Sørland,26,NO,10/18/2020,62,32.0,67.67,12.69,5.82
New Norfolk,89,AU,10/18/2020,72,51.01,-42.78,147.06,1.01
Kemisē,62,ET,10/18/2020,49,66.07,10.72,39.87,3.6
La Roda,96,ES,10/18/2020,58,57.0,39.22,-2.15,3.36
Bubaque,0,GW,10/18/2020,86,82.56,11.28,-15.83,11.83
Port Alfred,65,ZA,10/18/2020,81,61.75,-33.59,26.89,6.96
San Patricio,20,US,10/18/2020,43,91.4,28.02,-97.52,14.99
Sayyan,0,YE,10/18/2020,39,52.81,15.17,44.32,4.03
Castro,100,BR,10/18/2020,80,66.04,-24.79,-50.01,7.47
Emba,0,KZ,10/18/2020,62,53.22,48.83,58.14,11.3
Ola,98,RU,10/18/2020,91,33.82,59.58,151.28,9.37
Kitui,30,KE,10/18/2020,82,65.8,-1.37,38.01,8.68
North Auburn,1,US,10/18/2020,18,89.01,38.93,-121.08,5.82
Gazli,0,UZ,10/18/2020,33,55.06,40.13,63.45,12.3
Boden,90,SE,10/18/2020,97,32.0,65.83,21.69,12.75
Cape Town,20,ZA,10/18/2020,82,61.0,-33.93,18.42,13.87
Tegul'det,100,RU,10/18/2020,95,30.04,57.31,88.17,13.4
Touros,20,BR,10/18/2020,69,80.6,-5.2,-35.46,12.75
Woodward,90,US,10/18/2020,55,46.0,36.43,-99.39,14.99
Guerrero Negro,95,MX,10/18/2020,44,83.46,27.98,-114.06,12.01
Shimoda,73,JP,10/18/2020,78,54.0,34.67,138.95,11.63
College,90,US,10/18/2020,67,21.99,64.86,-147.8,1.45
Pangai,75,TO,10/18/2020,78,75.2,-19.8,-174.35,6.93
Si Sa Ket,100,TH,10/18/2020,97,69.93,14.83,104.33,3.24
Segovia,100,ES,10/18/2020,58,54.0,41.17,-4.0,7.16
Vila Franca do Campo,20,PT,10/18/2020,62,59.0,37.72,-25.43,8.05
Nagai,90,JP,10/18/2020,94,46.99,38.1,140.03,1.97
Margate,47,GB,10/18/2020,83,51.01,51.38,1.39,6.24
Lebu,0,CL,10/18/2020,64,55.0,-37.62,-73.65,5.86
Kathu,20,TH,10/18/2020,100,82.99,7.92,98.33,1.12
Tura,0,IN,10/18/2020,90,72.64,25.52,90.22,1.63
São Filipe,22,CV,10/18/2020,79,80.64,14.9,-24.5,6.38
Mikuni,75,JP,10/18/2020,81,53.6,36.22,136.15,3.36
Nianzishan,0,CN,10/18/2020,72,37.08,47.52,122.88,5.17
Ribeira Grande,40,PT,10/18/2020,72,62.6,38.52,-28.7,19.46
Kavaratti,36,IN,10/18/2020,81,80.71,10.57,72.64,11.74
Brae,100,GB,10/18/2020,86,41.0,60.4,-1.35,8.05
Tallahassee,40,US,10/18/2020,54,82.99,30.44,-84.28,6.93
Korla,3,CN,10/18/2020,92,45.0,41.76,86.15,3.0
Praia da Vitória,40,PT,10/18/2020,82,59.0,38.73,-27.07,12.19
Port Hardy,90,CA,10/18/2020,100,48.2,50.7,-127.42,10.29
Portland,75,US,10/18/2020,68,66.99,45.52,-122.68,11.41
Hastings,95,GB,10/18/2020,76,51.01,50.86,0.57,1.1
Puerto Baquerizo Moreno,75,EC,10/18/2020,88,73.4,-0.9,-89.6,13.87
Puerto Escondido,40,MX,10/18/2020,66,86.0,15.85,-97.07,5.82
Sulangan,100,PH,10/18/2020,76,83.7,11.14,123.72,11.52
Sorong,100,ID,10/18/2020,84,80.11,-0.88,131.25,11.27
Ciudad Bolivar,89,VE,10/18/2020,52,90.7,8.12,-63.55,2.53
Lubumbashi,0,CD,10/18/2020,44,68.58,-11.66,27.48,4.56
Tabou,85,CI,10/18/2020,90,77.4,4.42,-7.35,6.46
Alta Floresta,90,BR,10/18/2020,61,83.17,-9.88,-56.09,1.34
Azángaro,93,PE,10/18/2020,31,60.64,-14.92,-70.22,9.84
Hofn,87,IS,10/18/2020,84,42.96,64.25,-15.21,21.34
Rancho Palos Verdes,5,US,10/18/2020,73,77.0,33.74,-118.39,4.7
Coruripe,100,BR,10/18/2020,76,75.24,-10.13,-36.18,8.81
Nome,75,US,10/18/2020,93,39.2,64.5,-165.41,9.17
West Bay,75,KY,10/18/2020,78,82.4,19.37,-81.42,6.93
Mangan,60,IN,10/18/2020,50,69.13,27.52,88.53,2.33
Airai,33,TL,10/18/2020,67,60.1,-8.93,125.41,2.26
Oranjemund,0,NA,10/18/2020,85,58.59,-28.55,16.43,13.42
Muskegon,90,US,10/18/2020,75,44.6,43.3,-86.13,3.36
Kailua,40,US,10/18/2020,66,84.99,21.4,-157.74,3.36
Oussouye,40,SN,10/18/2020,89,86.0,12.48,-16.55,7.14
Ilulissat,100,GL,10/18/2020,45,42.8,69.22,-51.1,17.22
Hilo,90,US,10/18/2020,83,77.0,19.73,-155.09,9.17
Fortuna,20,US,10/18/2020,59,62.6,40.6,-124.16,13.87
Kousséri,0,CM,10/18/2020,65,82.4,12.08,15.03,1.12
Necochea,57,AR,10/18/2020,68,64.0,-38.55,-58.74,3.0
Gigmoto,100,PH,10/18/2020,85,80.69,13.78,124.39,10.2
Faanui,39,PF,10/18/2020,79,79.45,-16.48,-151.75,8.72
Pevek,97,RU,10/18/2020,94,24.26,69.7,170.31,16.93
Nuuk,20,GL,10/18/2020,81,44.6,64.18,-51.72,16.11
Shahrud,0,IR,10/18/2020,36,51.4,36.42,54.98,1.7
Viedma,0,AR,10/18/2020,13,79.0,-40.81,-63.0,5.99
Sakakah,0,SA,10/18/2020,14,75.2,29.97,40.21,5.82
Phek,95,IN,10/18/2020,100,59.4,25.67,94.5,1.54
Abu Samrah,78,SY,10/18/2020,44,64.51,35.3,37.18,5.66
Ouro Sogui,0,SN,10/18/2020,16,95.5,15.61,-13.32,7.36
Ahipara,20,NZ,10/18/2020,75,63.37,-35.17,173.17,10.2
Susanville,1,US,10/18/2020,22,79.0,40.42,-120.65,3.36
Clyde River,90,CA,10/18/2020,92,30.2,70.47,-68.59,6.93
Atambua,9,ID,10/18/2020,80,72.91,-9.11,124.89,2.26
Kahului,40,US,10/18/2020,55,87.8,20.89,-156.47,5.82
Houston,75,US,10/18/2020,58,87.01,29.76,-95.36,16.11
Cabo San Lucas,40,MX,10/18/2020,70,90.0,22.89,-109.91,2.24
Tasiilaq,58,GL,10/18/2020,80,33.8,65.61,-37.64,8.05
Upernavik,10,GL,10/18/2020,91,30.81,72.79,-56.15,11.21
Puerto Ayora,20,EC,10/18/2020,65,80.6,-0.74,-90.35,23.04
Staryy Nadym,39,RU,10/18/2020,97,24.12,65.61,72.68,13.24
Gonder,0,ET,10/18/2020,68,56.62,12.6,37.47,4.07
Bariloche,40,AR,10/18/2020,61,46.4,-41.15,-71.31,33.33
Troitskoye,74,RU,10/18/2020,89,32.88,52.98,84.68,8.84
Tekkali,93,IN,10/18/2020,81,78.71,18.62,84.23,5.37
Penalva,100,BR,10/18/2020,67,82.36,-3.29,-45.17,0.36
Lucera,5,IT,10/18/2020,87,53.6,41.51,15.34,4.7
Lata,79,PT,10/18/2020,70,63.0,40.16,-8.33,1.01
Emerald,0,AU,10/18/2020,77,66.0,-23.53,148.17,6.93
Laguna,21,US,10/18/2020,24,89.01,38.42,-121.42,1.01
Linqiong,40,CN,10/18/2020,100,61.0,30.42,103.46,2.24
Haines Junction,100,CA,10/18/2020,78,24.94,60.75,-137.51,0.89
Petra,0,JO,10/18/2020,63,58.66,30.32,35.48,2.28
Bijie,100,CN,10/18/2020,89,47.68,27.31,105.29,3.67
Banda Aceh,100,ID,10/18/2020,69,81.03,5.56,95.32,11.5
Zeya,1,RU,10/18/2020,88,20.95,53.75,127.27,2.73
Tiznit Province,100,MA,10/18/2020,34,69.78,29.58,-9.5,3.71
Saint-Joseph,20,RE,10/18/2020,64,69.8,-21.37,55.62,3.36
Sitka,90,US,10/18/2020,70,42.8,57.05,-135.33,11.41
Avera,75,US,10/18/2020,60,73.4,33.19,-82.53,9.17
Naze,90,JP,10/18/2020,88,75.2,28.37,129.48,19.46
Sisimiut,100,GL,10/18/2020,73,42.19,66.94,-53.67,11.81
Kita,37,ML,10/18/2020,42,82.45,13.03,-9.49,2.68
Muzhi,0,RU,10/18/2020,93,22.78,65.37,64.67,6.69
Ürümqi,45,CN,10/18/2020,34,50.0,43.8,87.6,6.71
Mossamedes,16,AO,10/18/2020,74,69.46,-15.2,12.15,3.56
Kapaa,1,US,10/18/2020,78,86.0,22.08,-159.32,11.41
Inhambane,0,MZ,10/18/2020,83,70.18,-23.86,35.38,10.65
Saldanha,100,ZA,10/18/2020,76,57.2,-33.01,17.94,4.7
Umluj,0,SA,10/18/2020,49,83.75,25.02,37.27,6.04
Florø,99,NO,10/18/2020,80,39.2,61.6,5.03,8.05
Broome,1,US,10/18/2020,30,57.99,42.25,-75.83,10.29
Ponta Grossa,100,BR,10/18/2020,78,67.48,-25.09,-50.16,7.16
Plettenberg Bay,38,ZA,10/18/2020,82,57.74,-34.05,23.37,3.04
Wangkui,0,CN,10/18/2020,85,34.05,46.83,126.5,6.87
Half Moon Bay,1,US,10/18/2020,82,82.99,37.46,-122.43,5.82
Kurakh,0,RU,10/18/2020,38,53.96,41.58,47.78,7.83
Huainan,74,CN,10/18/2020,58,56.03,32.63,117.0,3.85
Jiamusi,47,CN,10/18/2020,85,33.39,46.83,130.35,9.44
Las Palmas,20,ES,10/18/2020,68,69.8,28.42,-14.01,2.24
Leningradskiy,0,RU,10/18/2020,88,22.77,69.38,178.42,6.46
Yatou,0,CN,10/18/2020,66,53.85,37.15,122.38,2.68
Zholymbet,0,KZ,10/18/2020,82,33.48,51.74,71.71,3.67
Santa Cruz de la Sierra,20,BO,10/18/2020,37,96.8,-17.8,-63.17,13.87
Alice Springs,79,AU,10/18/2020,40,71.6,-23.7,133.88,14.99
Tilichiki,100,RU,10/18/2020,82,36.73,60.47,166.1,10.58
Awjilah,75,LY,10/18/2020,24,78.98,29.11,21.29,8.66
Torbay,90,CA,10/18/2020,93,53.6,47.67,-52.73,6.93
Gadung,43,PH,10/18/2020,79,78.48,6.8,124.02,4.29
Troitsko-Pechorsk,100,RU,10/18/2020,98,30.42,62.71,56.2,7.11
Tiksi,100,RU,10/18/2020,95,17.17,71.69,128.87,14.14
Manaure,18,CO,10/18/2020,60,89.83,11.78,-72.44,9.01
Carutapera,99,BR,10/18/2020,73,80.44,-1.2,-46.02,7.45
Dubrovka,100,RU,10/18/2020,84,40.08,53.69,33.51,13.56
Nanortalik,95,GL,10/18/2020,94,39.13,60.14,-45.24,9.44
Newport,94,GB,10/18/2020,90,51.01,51.59,-3.0,6.33
Zilair,49,RU,10/18/2020,73,44.29,52.23,57.44,9.37
Columbus,90,US,10/18/2020,71,55.99,39.96,-83.0,10.29
Beringovskiy,0,RU,10/18/2020,84,34.68,63.05,179.32,3.53
Saint George,1,US,10/18/2020,10,84.99,37.1,-113.58,9.17
Deputatsky,100,RU,10/18/2020,95,12.51,69.3,139.9,8.81
Jadu,0,LY,10/18/2020,60,58.37,31.95,12.03,8.01
Kargasok,99,RU,10/18/2020,93,29.68,59.06,80.86,15.21
Saint-Philippe,20,RE,10/18/2020,64,73.4,-21.36,55.77,3.36
Luganville,75,VU,10/18/2020,78,78.8,-15.53,167.17,6.93
Tautira,40,PF,10/18/2020,74,84.0,-17.73,-149.15,19.46
Qaqortoq,85,GL,10/18/2020,98,37.4,60.72,-46.03,2.24
