City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
Codrington,39,AU,10/18/2020,95,47.53,-38.27,141.97,5.99
Morehead,90,US,10/18/2020,93,62.6,37.27,-87.18,6.93
Tarata,75,BO,10/18/2020,72,59.0,-17.62,-66.02,11.41
Ossora,91,RU,10/18/2020,80,36.07,59.24,163.07,5.88
Bonavista,100,CA,10/18/2020,78,51.01,48.65,-53.11,5.66
Samdrup Jongkhar District,0,BT,10/18/2020,57,67.93,26.92,91.62,4.9
Laem Sing,99,TH,10/18/2020,95,79.0,12.48,102.07,1.63
Pedernales,20,DO,10/18/2020,66,87.8,18.04,-71.74,18.34
Ponta do Sol,75,PT,10/18/2020,83,73.4,32.67,-17.1,24.16
Faya,0,SA,10/18/2020,18,64.4,18.39,42.45,8.05
Acaraú,96,BR,10/18/2020,74,79.74,-2.89,-40.12,16.89
Hasaki,75,JP,10/18/2020,100,48.2,35.73,140.83,5.82
Qui Nhon,100,VN,10/18/2020,86,76.53,13.77,109.23,5.41
Čelinac,0,BA,10/18/2020,93,42.8,44.72,17.33,2.24
Sechura,9,PE,10/18/2020,54,76.21,-5.56,-80.82,16.71
Yerbogachën,100,RU,10/18/2020,96,35.85,61.28,108.01,5.64
Lingao,100,CN,10/18/2020,82,75.92,19.91,109.69,21.77
Jalu,98,LY,10/18/2020,24,79.92,29.03,21.55,1.36
Adrar,1,MR,10/18/2020,19,89.69,20.5,-10.07,10.71
Vao,18,NC,10/18/2020,80,71.06,-22.67,167.48,17.52
Trofors,0,NO,10/18/2020,100,23.0,65.53,13.41,2.24
Vanimo,100,PG,10/18/2020,82,78.22,-2.67,141.3,5.1
Narsaq,88,GL,10/18/2020,93,37.4,60.92,-46.05,2.24
Sungai Penuh,97,ID,10/18/2020,89,65.61,-2.08,101.38,1.39
Havelock,5,US,10/18/2020,64,73.99,34.88,-76.9,12.75
Port Blair,100,IN,10/18/2020,83,80.33,11.67,92.75,15.12
Turukhansk,100,RU,10/18/2020,98,20.93,65.82,87.98,15.84
Makīnsk,1,KZ,10/18/2020,90,30.33,52.63,70.42,5.66
Dingle,100,PH,10/18/2020,91,76.28,11.0,122.67,5.21
Isiro,100,CD,10/18/2020,97,67.53,2.77,27.62,0.18
Amuntai,32,ID,10/18/2020,98,73.26,-2.42,115.25,1.14
Funadhoo,86,MV,10/18/2020,78,82.24,6.15,73.27,14.52
Burgersdorp,29,ZA,10/18/2020,47,63.84,-31.0,26.33,3.89
Kruisfontein,17,ZA,10/18/2020,86,55.0,-34.0,24.73,1.99
Mackay,40,AU,10/18/2020,88,68.0,-21.15,149.2,3.36
Bathsheba,40,BB,10/18/2020,70,84.2,13.22,-59.52,4.7
Chapais,90,CA,10/18/2020,75,46.4,49.78,-74.85,16.11
Caronport,19,CA,10/18/2020,55,25.0,50.45,-105.82,5.99
Menongue,0,AO,10/18/2020,25,70.66,-14.66,17.69,3.85
Salym,95,RU,10/18/2020,97,26.87,60.06,71.48,8.14
Manokwari,100,ID,10/18/2020,75,80.4,-0.87,134.08,5.37
Talnakh,90,RU,10/18/2020,92,15.8,69.49,88.4,6.71
Dunedin,100,NZ,10/18/2020,87,52.0,-45.87,170.5,0.43
La Esperanza,100,GT,10/18/2020,99,75.0,14.87,-91.57,1.01
Shingū,100,JP,10/18/2020,71,60.35,33.73,135.98,5.7
Padang,83,ID,10/18/2020,77,77.85,-0.95,100.35,3.74
Ndendé,94,GA,10/18/2020,95,74.23,-2.4,11.36,3.42
Hirara,58,JP,10/18/2020,80,77.79,24.8,125.28,21.25
Mumford,7,GH,10/18/2020,90,77.77,5.26,-0.76,9.1
Marystown,98,CA,10/18/2020,100,57.0,47.17,-55.15,6.33
Banjar,40,ID,10/18/2020,83,80.6,-8.19,114.97,2.24
Buncrana,99,IE,10/18/2020,87,50.63,55.13,-7.45,6.33
Rocha,3,UY,10/18/2020,79,77.79,-34.48,-54.33,6.22
Shancheng,100,CN,10/18/2020,59,59.0,34.8,116.08,2.75
Hailar,9,CN,10/18/2020,93,32.99,49.2,119.7,7.85
La Rioja,15,ES,10/18/2020,81,54.0,42.25,-2.5,6.53
Fairbanks,90,US,10/18/2020,67,21.99,64.84,-147.72,1.66
Bilma,0,NE,10/18/2020,15,83.88,18.69,12.92,5.95
Kotma,12,IN,10/18/2020,73,72.12,23.2,81.97,3.2
Cochrane,75,CA,10/18/2020,73,19.4,51.18,-114.47,6.93
Malvern,90,US,10/18/2020,69,77.0,34.36,-92.81,4.7
Itaituba,88,BR,10/18/2020,48,87.48,-4.28,-55.98,2.08
Hamilton,90,US,10/18/2020,67,60.01,39.18,-84.53,12.75
Villa Rica,1,US,10/18/2020,56,70.0,33.73,-84.92,4.7
Soyo,99,AO,10/18/2020,85,77.49,-6.13,12.37,9.8
Kilindoni,16,TZ,10/18/2020,82,78.78,-7.91,39.67,11.36
Soure,91,BR,10/18/2020,75,81.36,-0.72,-48.52,13.24
Xiongzhou,71,CN,10/18/2020,86,59.05,25.12,114.3,2.89
Buckeye,1,US,10/18/2020,11,97.0,33.37,-112.58,4.7
Petauke,22,ZM,10/18/2020,20,74.84,-14.24,31.33,10.65
Berbera,0,SO,10/18/2020,51,84.87,10.44,45.01,2.01
Sabha,95,LY,10/18/2020,32,78.87,27.04,14.43,19.91
Anshun,100,CN,10/18/2020,86,50.43,26.25,105.93,6.64
Ol'ga,24,RU,10/18/2020,71,39.99,43.74,135.29,7.11
Norman Wells,20,CA,10/18/2020,78,17.6,65.28,-126.83,6.93
Carballo,76,ES,10/18/2020,93,59.0,43.21,-8.69,5.82
Ruska Poliana,12,UA,10/18/2020,85,45.41,49.42,31.92,9.19
San Cristobal,20,VE,10/18/2020,34,93.2,7.77,-72.22,14.99
Mulchén,0,CL,10/18/2020,35,65.68,-37.72,-72.23,7.67
Snåase,0,NO,10/18/2020,89,33.82,64.25,12.38,4.74
Mvomero,7,TZ,10/18/2020,86,74.86,-6.25,38.67,2.51
Hvide Sande,80,DK,10/18/2020,78,46.0,56.0,8.13,1.01
Rafrāf,40,TN,10/18/2020,82,64.4,37.19,10.18,8.19
Aklavik,5,CA,10/18/2020,67,17.6,68.22,-135.01,3.36
Peace River,90,CA,10/18/2020,57,19.4,56.25,-117.29,2.24
Kudahuvadhoo,38,MV,10/18/2020,77,82.56,2.67,72.89,14.63
Gladstone,40,AU,10/18/2020,82,68.0,-23.85,151.25,2.24
Marsh Harbour,100,BS,10/18/2020,78,79.07,26.54,-77.06,7.54
Prado,69,BR,10/18/2020,85,72.82,-17.34,-39.22,10.58
Haapiti,40,PF,10/18/2020,74,84.0,-17.57,-149.87,19.46
Bintulu,40,MY,10/18/2020,88,78.8,3.17,113.03,2.24
Zyryanka,95,RU,10/18/2020,92,19.47,65.75,150.85,1.45
Kattivākkam,75,IN,10/18/2020,100,78.8,13.22,80.32,5.82
The Valley,40,AI,10/18/2020,83,86.0,18.22,-63.06,3.36
Paso de Carrasco,40,UY,10/18/2020,51,87.8,-34.86,-56.05,11.41
Dembī Dolo,87,ET,10/18/2020,98,56.8,8.53,34.8,3.65
Salinas,1,US,10/18/2020,39,82.99,36.68,-121.66,13.87
Kenai,40,US,10/18/2020,80,37.0,60.55,-151.26,6.93
Yinchuan,0,CN,10/18/2020,38,49.14,38.47,106.27,6.13
Hammerfest,40,NO,10/18/2020,84,32.0,70.66,23.68,9.17
Impfondo,99,CG,10/18/2020,97,72.23,1.64,18.07,2.33
Saint Anthony,90,US,10/18/2020,50,35.6,45.02,-93.22,8.05
Dungarvan,100,IE,10/18/2020,88,55.0,52.09,-7.63,8.01
Clarence Town,75,AU,10/18/2020,100,63.0,-32.58,151.78,12.75
Mogadishu,34,SO,10/18/2020,81,78.75,2.04,45.34,11.97
Mapiri,100,BO,10/18/2020,89,68.88,-15.25,-68.17,2.21
Asău,76,RO,10/18/2020,87,50.0,46.43,26.4,6.93
Mahébourg,20,MU,10/18/2020,73,73.4,-20.41,57.7,10.29
Grand Gaube,0,MU,10/18/2020,74,72.0,-20.01,57.66,3.0
Coroisânmartin,83,RO,10/18/2020,93,45.0,46.4,24.6,3.2
Kajaani,90,FI,10/18/2020,95,33.8,64.23,27.73,12.75
Olafsvik,49,IS,10/18/2020,76,42.66,64.89,-23.71,30.27
Rio Grande,0,BR,10/18/2020,71,75.0,-32.03,-52.1,5.01
Xai-Xai,0,MZ,10/18/2020,70,72.09,-25.05,33.64,10.4
Sistranda,75,NO,10/18/2020,80,41.0,63.73,8.83,13.87
Cherskiy,89,RU,10/18/2020,92,20.34,68.75,161.3,7.0
Manosque,0,FR,10/18/2020,81,45.0,43.83,5.79,2.24
Flic en Flac,20,MU,10/18/2020,73,73.4,-20.27,57.36,10.29
Curup,100,ID,10/18/2020,94,68.95,-3.47,102.53,0.16
Wasilla,90,US,10/18/2020,92,34.0,61.58,-149.44,3.96
Palmas,20,BR,10/18/2020,46,93.2,-10.21,-48.36,4.7
Conakry,75,GN,10/18/2020,94,80.6,9.54,-13.68,4.7
Pangkalanbuun,100,ID,10/18/2020,96,73.22,-2.68,111.62,1.01
Kiryat Gat,0,IL,10/18/2020,85,75.99,31.61,34.76,3.83
Ginir,98,ET,10/18/2020,93,59.79,7.13,40.7,2.42
Zmeinogorsk,0,RU,10/18/2020,91,31.05,51.16,82.19,2.1
Khatanga,42,RU,10/18/2020,85,7.12,71.97,102.5,8.5
Mwinilunga,0,ZM,10/18/2020,41,68.83,-11.74,24.43,4.16
Kimbe,100,PG,10/18/2020,90,76.08,-5.55,150.14,3.76
Gamba,97,GA,10/18/2020,90,77.05,-2.65,10.0,8.23
Mananjary,77,MG,10/18/2020,88,71.22,-21.22,48.33,6.87
Hualmay,24,PE,10/18/2020,70,66.36,-11.1,-77.61,9.44
Mareeba,19,AU,10/18/2020,94,69.01,-17.0,145.43,1.57
Nantucket,1,US,10/18/2020,62,57.2,41.28,-70.1,10.29
Sawākin,0,SD,10/18/2020,76,81.07,19.11,37.33,5.91
Songjianghe,0,CN,10/18/2020,87,32.97,42.19,127.48,6.02
Cidreira,61,BR,10/18/2020,82,68.58,-30.18,-50.21,20.74
Tete,13,MZ,10/18/2020,32,80.6,-16.16,33.59,5.26
Thayetmyo,98,MM,10/18/2020,94,74.01,19.32,95.18,0.74
Anito,100,PH,10/18/2020,88,78.69,12.45,125.29,7.18
Southbridge,90,US,10/18/2020,42,59.0,42.08,-72.03,1.99
Dunmore Town,100,BS,10/18/2020,81,79.3,25.5,-76.65,19.57
Kokopo,14,PG,10/18/2020,86,78.46,-4.35,152.26,3.65
Kayasula,10,RU,10/18/2020,83,55.83,44.33,45.0,1.95
Aldan,2,RU,10/18/2020,92,7.84,58.6,125.39,6.73
Srīvardhan,100,IN,10/18/2020,81,78.03,18.03,73.02,1.25
Canchungo,75,GW,10/18/2020,94,84.2,12.07,-16.03,2.24
Methóni,10,GR,10/18/2020,82,63.0,36.82,21.7,4.7
Boyolangu,99,ID,10/18/2020,88,75.69,-8.12,111.89,4.92
Wildomar,1,US,10/18/2020,22,93.0,33.6,-117.28,3.36
Dubrovnik,0,HR,10/18/2020,47,59.0,42.65,18.09,16.11
Madison,1,US,10/18/2020,50,77.0,34.73,-86.57,4.7
Flin Flon,90,CA,10/18/2020,89,32.0,54.77,-101.86,10.29
Whitehorse,75,CA,10/18/2020,58,25.0,60.72,-135.05,14.99
Constitución,0,CL,10/18/2020,58,57.2,-35.33,-72.42,16.42
Ponta Delgada,20,PT,10/18/2020,59,60.8,37.73,-25.67,9.17
Iglesias,5,IT,10/18/2020,87,57.0,39.31,8.54,3.36
Luanda,20,AO,10/18/2020,83,77.0,-8.84,13.23,8.05
Sola,27,VU,10/18/2020,78,79.48,-13.88,167.55,20.62
Havøysund,40,NO,10/18/2020,76,37.4,71.0,24.66,9.17
Mouila,100,GA,10/18/2020,93,74.61,-1.87,11.06,1.43
Los Llanos de Aridane,11,ES,10/18/2020,69,75.2,28.66,-17.92,19.46
Stokmarknes,20,NO,10/18/2020,64,37.4,68.56,14.91,12.75
Lüderitz,0,NA,10/18/2020,50,65.16,-26.65,15.16,18.5
Carbonia,5,IT,10/18/2020,87,57.0,39.17,8.52,3.36
Zelenoborskiy,100,RU,10/18/2020,94,37.56,66.84,32.36,17.98
Ende,56,ID,10/18/2020,77,77.61,-8.84,121.66,1.07
Mīnāb,0,IR,10/18/2020,22,64.4,27.15,57.08,4.7
Sioux Lookout,90,CA,10/18/2020,74,30.2,50.1,-91.92,10.29
Yelizovo,75,RU,10/18/2020,100,37.4,53.19,158.38,4.47
Surgāna,100,IN,10/18/2020,99,71.42,20.57,73.62,1.21
Quito,75,EC,10/18/2020,68,66.2,-0.23,-78.52,21.92
Ketchikan,90,US,10/18/2020,86,44.6,55.34,-131.65,5.82
Siocon,100,PH,10/18/2020,82,78.98,7.71,122.14,3.87
Morgan City,20,US,10/18/2020,69,82.4,29.7,-91.21,6.93
Tambura,95,SS,10/18/2020,93,70.18,5.6,27.47,2.8
Salou,20,ES,10/18/2020,82,57.99,41.08,1.14,6.93
Wewak,99,PG,10/18/2020,86,78.48,-3.55,143.63,4.97
High Rock,75,BS,10/18/2020,83,80.6,26.62,-78.28,12.75
Huarmey,41,PE,10/18/2020,66,68.72,-10.07,-78.15,11.18
Aasiaat,100,GL,10/18/2020,81,36.14,68.71,-52.87,24.25
Aykhal,75,RU,10/18/2020,92,12.2,66.0,111.5,4.47
Ostër,70,UA,10/18/2020,91,45.0,50.95,30.88,9.69
Matara,94,LK,10/18/2020,87,78.03,5.95,80.54,10.0
Havre-St-Pierre,20,CA,10/18/2020,56,44.6,50.23,-63.6,4.38
Celendín,75,PE,10/18/2020,40,71.6,-6.87,-78.15,9.17
Flinders,86,AU,10/18/2020,76,61.0,-34.58,150.86,5.01
Lima,75,PE,10/18/2020,64,69.8,-12.04,-77.03,10.29
El Tigre,92,VE,10/18/2020,56,87.46,8.89,-64.25,1.92
Vrangel',0,RU,10/18/2020,58,45.79,42.73,133.08,7.45
Rongcheng,100,CN,10/18/2020,78,58.03,30.63,117.85,3.91
Caravelas,54,BR,10/18/2020,80,72.95,-17.71,-39.25,8.43
Ayr,20,GB,10/18/2020,87,51.01,55.46,-4.63,3.36
Huixtla,75,MX,10/18/2020,66,89.6,15.15,-92.47,9.17
Teahupoo,40,PF,10/18/2020,70,84.2,-17.83,-149.27,17.22
Baie-Saint-Paul,100,CA,10/18/2020,75,51.01,47.44,-70.5,5.99
Zemetchino,84,RU,10/18/2020,65,45.61,53.5,42.62,14.0
Bull Savanna,100,JM,10/18/2020,77,80.76,17.89,-77.59,9.1
Takoradze,23,GH,10/18/2020,89,77.38,4.88,-1.76,7.63
Yershov,72,RU,10/18/2020,68,59.9,51.35,48.28,12.3
Valdez,64,EC,10/18/2020,81,79.65,1.25,-78.98,17.76
St. Marys,90,US,10/18/2020,78,78.8,30.73,-81.55,18.34
Ancud,75,CL,10/18/2020,66,55.0,-41.87,-73.82,14.99
Tomatlán,68,MX,10/18/2020,63,90.68,19.93,-105.25,7.52
Meulaboh,100,ID,10/18/2020,83,76.01,4.14,96.13,4.05
North Platte,90,US,10/18/2020,51,37.4,41.12,-100.77,3.36
Cairns,10,AU,10/18/2020,94,69.01,-16.92,145.77,3.67
Ribeira Brava,75,PT,10/18/2020,83,73.4,32.65,-17.07,27.51
Baruun-Urt,0,MN,10/18/2020,75,34.97,46.68,113.28,9.04
Fort Saint James,100,CA,10/18/2020,86,31.95,54.43,-124.25,3.71
Phang Nga,20,TH,10/18/2020,94,80.01,8.45,98.53,1.12
Petropavlovsk-Kamchatskiy,75,RU,10/18/2020,100,39.2,53.05,158.65,6.71
Ugra,94,RU,10/18/2020,86,37.29,54.78,34.33,11.45
Viloco,92,BO,10/18/2020,73,47.73,-16.95,-67.55,4.36
Pontes e Lacerda,85,BR,10/18/2020,54,86.56,-15.23,-59.34,1.52
Muros,99,ES,10/18/2020,84,57.99,42.78,-9.06,7.45
Ormstown,90,CA,10/18/2020,44,57.2,45.13,-74.0,17.22
Weihai,0,CN,10/18/2020,58,57.87,37.5,122.11,5.57
Balkanabat,0,TM,10/18/2020,28,62.73,39.51,54.37,6.22
Merauke,99,ID,10/18/2020,82,78.46,-8.47,140.33,10.04
Baykit,100,RU,10/18/2020,92,28.51,61.67,96.37,11.9
Burns Lake,100,CA,10/18/2020,95,29.17,54.23,-125.75,2.95
Anadyr,0,RU,10/18/2020,92,21.2,64.75,177.48,3.29
Revelstoke,90,CA,10/18/2020,86,37.4,50.98,-118.2,3.36
Samfya,0,ZM,10/18/2020,42,76.14,-11.36,29.56,8.77
Hervey Bay,7,AU,10/18/2020,73,71.6,-25.3,152.85,9.17
Jaca,24,ES,10/18/2020,66,48.2,42.57,-0.55,3.36
Tarakan,100,ID,10/18/2020,85,79.7,3.3,117.63,7.72
Province of Mantua,0,IT,10/18/2020,94,51.01,45.17,10.78,3.2
Marigot,20,MF,10/18/2020,70,84.99,18.07,-63.08,2.24
Mokrousovo,66,RU,10/18/2020,84,34.2,55.81,66.77,11.56
Iskateley,30,RU,10/18/2020,96,28.49,67.68,53.15,1.25
Forsytheganj,90,BY,10/18/2020,84,43.57,52.63,29.73,13.15
Kanigiri,100,IN,10/18/2020,89,77.13,15.4,79.52,4.27
Shimanovsk,29,RU,10/18/2020,96,26.96,52.0,127.7,6.08
Saint-Pierre,20,RE,10/18/2020,64,70.0,-21.34,55.48,3.36
Gravdal,19,NO,10/18/2020,80,33.8,68.12,13.5,5.82
Dakar,0,SN,10/18/2020,89,84.2,14.69,-17.44,2.24
Mīzan Teferī,34,ET,10/18/2020,91,61.21,6.98,35.58,2.86
Klyuchi,0,RU,10/18/2020,85,33.55,52.27,79.17,6.67
Lichuan,88,CN,10/18/2020,97,46.76,30.3,108.85,1.36
Ardeşen,65,TR,10/18/2020,82,62.6,41.19,40.99,11.41
Chui,0,UY,10/18/2020,70,72.48,-33.7,-53.46,7.63
Ouadda,60,CF,10/18/2020,86,70.0,8.08,22.4,2.84
Beloha,0,MG,10/18/2020,83,65.25,-25.17,45.05,12.19
Bara,2,NG,10/18/2020,60,80.06,10.37,10.73,8.25
Argir,100,FO,10/18/2020,93,39.2,62.0,-6.77,3.36
Marsaxlokk,20,MT,10/18/2020,72,66.0,35.84,14.54,6.93
La Plaine,75,DM,10/18/2020,79,86.0,15.33,-61.25,4.7
Dois Vizinhos,23,BR,10/18/2020,51,78.73,-25.73,-53.06,3.85
Nouadhibou,19,MR,10/18/2020,45,82.4,20.93,-17.03,12.75
Lagoa,54,PT,10/18/2020,73,62.89,39.05,-27.98,21.41
Klaksvík,100,FO,10/18/2020,93,39.2,62.23,-6.59,3.36
Paamiut,45,GL,10/18/2020,84,42.4,61.99,-49.67,36.86
Ferrandina,5,IT,10/18/2020,93,55.0,40.5,16.45,5.82
Barkhan,0,PK,10/18/2020,27,59.83,29.9,69.53,2.24
Ko Samui,83,TH,10/18/2020,75,82.4,9.54,99.94,12.17
Monte Escobedo,21,MX,10/18/2020,26,74.86,22.3,-103.58,4.27
Santa Clarita,5,US,10/18/2020,37,90.0,34.39,-118.54,4.7
Vila Velha,90,BR,10/18/2020,88,71.6,-20.33,-40.29,3.36
Huejuquilla el Alto,33,MX,10/18/2020,22,81.95,22.6,-103.87,3.31
Baturaja,84,ID,10/18/2020,95,73.47,-4.13,104.17,2.68
Navrongo,23,GH,10/18/2020,57,84.09,10.9,-1.09,4.18
Lamu,20,KE,10/18/2020,83,77.0,-2.27,40.9,3.36
Arauco,0,CL,10/18/2020,54,59.0,-37.25,-73.32,13.87
São José da Coroa Grande,84,BR,10/18/2020,76,75.85,-8.9,-35.15,9.55
Cortes,25,ES,10/18/2020,66,53.6,41.94,-1.44,12.75
Saint-François,49,FR,10/18/2020,100,42.01,46.42,3.91,2.24
Goderich,100,CA,10/18/2020,83,54.0,43.75,-81.72,19.24
Taoudenni,0,ML,10/18/2020,15,84.51,22.68,-3.98,10.58
Arona,75,ES,10/18/2020,73,73.4,28.1,-16.68,11.41
Pemberton,90,CA,10/18/2020,93,44.01,50.32,-122.8,1.83
Makkah al Mukarramah,0,SA,10/18/2020,18,80.37,21.43,39.83,6.62
Vetlanda,0,SE,10/18/2020,80,37.99,57.43,15.08,6.93
Santa Rosa,20,PH,10/18/2020,88,78.8,14.31,121.11,4.7
Dwārka,29,IN,10/18/2020,80,83.57,22.24,68.97,9.98
Paysandu,0,UY,10/18/2020,71,83.37,-32.32,-58.08,10.4
Porto-Novo,40,BJ,10/18/2020,88,80.6,6.5,2.6,9.17
San Andrés,40,CO,10/18/2020,74,86.0,12.58,-81.7,6.93
Alofi,90,NU,10/18/2020,94,75.2,-19.06,-169.92,11.41
Iberia,20,US,10/18/2020,66,84.2,29.95,-91.75,10.29
